feature,outlier_count,outlier_percentage,Q1,Q3,IQR
log_packet_count,113676,42.82662668168615,1.0,1.0413926851582251,0.04139268515822514
ttl_std,56691,21.5280098429383,0.0,6.025157343041205,6.025157343041205
bytes_per_second,53047,20.14430288415896,131.02779328502015,2905.1044495158576,2774.076656230837
fin_ratio,49558,18.670624978808213,0.0,0.0333333333333333,0.0333333333333333
duration,47266,17.807130236255478,0.3883430957794189,4.122136116027832,3.733793020248413
window_std,23426,11.318767333764965,0.0,7709.547327826712,7709.547327826712
ttl_mean,9967,3.754996552802402,64.0,96.0,32.0
rst_ratio,0,0.0,0.0,1.0,1.0
syn_ratio,0,0.0,0.0,1.0,1.0
ack_ratio,0,0.0,0.0,0.7986111111111112,0.7986111111111112
